subject,blockcode,trialcode,trialnum,response,latency,stimulusitem3,stimulusitem4,stimulusitem5,stimulusitem6,stimulusitem8,values.gridface1_code,values.gridface2_code,values.gridface3_code,values.gridface4_code,values.compareface_code,values.trial_retry,values.nTrials,avg_grid,avg_compare,correct_resp,correct_num,easiness
776369198,main_instructions,main_instructions1,1,57,8438,0,0,0,0,0,999,999,999,999,999,999,100,999,999,NA,NA,0
776369198,main_instructions,main_instructions2,2,57,6866,0,0,0,0,0,999,999,999,999,999,999,100,999,999,NA,NA,0
776369198,main_instructions,main_instructions3,3,57,2791,0,0,0,0,0,999,999,999,999,999,999,100,999,999,NA,NA,0
776369198,gridcompare_block,gridcompare_trial,1,50,2115,nexus2_4_tw_-3.00.jpg,nexus2_11_tw_-3.00.jpg,nexus2_10_tw_0.00.jpg,nexus2_16_tw_1.00.jpg,nexus2_13_tw_0.00.jpg,-3,-3,0,1,0,0,100,-1.25,0,50,1,1.25
776369198,gridcompare_block,gridcompare_trial,2,38,638,nexus2_22_tw_1.00.jpg,nexus2_17_tw_0.00.jpg,nexus2_23_tw_0.00.jpg,nexus2_25_tw_-1.00.jpg,nexus2_6_tw_0.00.jpg,1,0,0,-1,0,1,101,0,0,NA,NA,0
776369198,gridcompare_block,gridcompare_trial,3,38,581,nexus2_12_tw_-3.00.jpg,nexus2_21_tw_3.00.jpg,nexus2_20_tw_0.00.jpg,nexus2_24_tw_-3.00.jpg,nexus2_18_tw_-1.00.jpg,-3,3,0,-3,-1,0,101,-0.75,-1,38,1,0.25
776369198,gridcompare_block,gridcompare_trial,4,50,333,nexus2_3_tw_-3.00.jpg,nexus2_1_tw_-1.00.jpg,nexus2_2_tw_1.00.jpg,nexus2_15_tw_-3.00.jpg,nexus2_14_tw_1.00.jpg,-3,-1,1,-3,1,0,101,-1.5,1,50,1,2.5
776369198,gridcompare_block,gridcompare_trial,5,38,256,nexus2_19_tw_2.00.jpg,nexus2_9_tw_1.00.jpg,nexus2_5_tw_-1.00.jpg,nexus2_8_tw_-3.00.jpg,nexus2_7_tw_0.00.jpg,2,1,-1,-3,0,0,101,-0.25,0,50,0,0.25
776369198,gridcompare_block,gridcompare_trial,6,50,189,nexus2_13_tw_-2.00.jpg,nexus2_10_tw_-1.00.jpg,nexus2_4_tw_0.00.jpg,nexus2_21_tw_-2.00.jpg,nexus2_19_tw_-1.00.jpg,-2,-1,0,-2,-1,0,101,-1.25,-1,50,1,0.25
776369198,gridcompare_block,gridcompare_trial,7,50,405,nexus2_2_tw_2.00.jpg,nexus2_7_tw_1.00.jpg,nexus2_24_tw_1.00.jpg,nexus2_1_tw_-2.00.jpg,nexus2_18_tw_-2.00.jpg,2,1,1,-2,-2,0,101,0.5,-2,38,0,2.5
776369198,gridcompare_block,gridcompare_trial,8,38,270,nexus2_16_tw_3.00.jpg,nexus2_22_tw_0.00.jpg,nexus2_25_tw_0.00.jpg,nexus2_3_tw_1.00.jpg,nexus2_12_tw_3.00.jpg,3,0,0,1,3,0,101,1,3,50,0,2
776369198,gridcompare_block,gridcompare_trial,9,50,299,nexus2_23_tw_-3.00.jpg,nexus2_17_tw_-1.00.jpg,nexus2_15_tw_-1.00.jpg,nexus2_11_tw_3.00.jpg,nexus2_8_tw_0.00.jpg,-3,-1,-1,3,0,0,101,-0.5,0,50,1,0.5
776369198,gridcompare_block,gridcompare_trial,10,50,255,nexus2_9_tw_2.00.jpg,nexus2_14_tw_2.00.jpg,nexus2_20_tw_-1.00.jpg,nexus2_5_tw_0.00.jpg,nexus2_6_tw_-3.00.jpg,2,2,-1,0,-3,0,101,0.75,-3,38,0,3.75
776369198,gridcompare_block,gridcompare_trial,11,38,476,nexus2_9_tw_-3.00.jpg,nexus2_15_tw_1.00.jpg,nexus2_11_tw_1.00.jpg,nexus2_20_tw_2.00.jpg,nexus2_1_tw_3.00.jpg,-3,1,1,2,3,0,101,0.25,3,50,0,2.75
776369198,gridcompare_block,gridcompare_trial,12,50,585,nexus2_7_tw_-3.00.jpg,nexus2_19_tw_1.00.jpg,nexus2_13_tw_1.00.jpg,nexus2_4_tw_-1.00.jpg,nexus2_3_tw_2.00.jpg,-3,1,1,-1,2,0,101,-0.5,2,50,1,2.5
776369198,gridcompare_block,gridcompare_trial,13,50,586,nexus2_21_tw_-3.00.jpg,nexus2_25_tw_3.00.jpg,nexus2_10_tw_1.00.jpg,nexus2_14_tw_-3.00.jpg,nexus2_24_tw_0.00.jpg,-3,3,1,-3,0,0,101,-0.5,0,50,1,0.5
776369198,gridcompare_block,gridcompare_trial,14,50,8067,nexus2_22_tw_-2.00.jpg,nexus2_5_tw_3.00.jpg,nexus2_17_tw_3.00.jpg,nexus2_6_tw_3.00.jpg,nexus2_8_tw_-2.00.jpg,-2,3,3,3,-2,0,101,1.75,-2,38,0,3.75
776369198,gridcompare_block,gridcompare_trial,15,50,32,nexus2_23_tw_-2.00.jpg,nexus2_18_tw_1.00.jpg,nexus2_16_tw_0.00.jpg,nexus2_12_tw_0.00.jpg,nexus2_2_tw_-1.00.jpg,-2,1,0,0,-1,0,101,-0.25,-1,38,0,0.75
776369198,gridcompare_block,gridcompare_trial,16,50,870,nexus2_20_tw_3.00.jpg,nexus2_18_tw_2.00.jpg,nexus2_17_tw_-3.00.jpg,nexus2_3_tw_0.00.jpg,nexus2_2_tw_-3.00.jpg,3,2,-3,0,-3,0,101,0.5,-3,38,0,3.5
776369198,gridcompare_block,gridcompare_trial,17,50,635,nexus2_5_tw_1.00.jpg,nexus2_15_tw_-2.00.jpg,nexus2_14_tw_0.00.jpg,nexus2_22_tw_3.00.jpg,nexus2_8_tw_1.00.jpg,1,-2,0,3,1,0,101,0.5,1,50,1,0.5
776369198,gridcompare_block,gridcompare_trial,18,50,600,nexus2_1_tw_1.00.jpg,nexus2_9_tw_3.00.jpg,nexus2_4_tw_1.00.jpg,nexus2_10_tw_3.00.jpg,nexus2_16_tw_-1.00.jpg,1,3,1,3,-1,0,101,2,-1,38,0,3
776369198,gridcompare_block,gridcompare_trial,19,50,512,nexus2_6_tw_2.00.jpg,nexus2_7_tw_2.00.jpg,nexus2_21_tw_0.00.jpg,nexus2_23_tw_-1.00.jpg,nexus2_25_tw_-2.00.jpg,2,2,0,-1,-2,0,101,0.75,-2,38,0,2.75
776369198,gridcompare_block,gridcompare_trial,20,50,269,nexus2_13_tw_-3.00.jpg,nexus2_24_tw_3.00.jpg,nexus2_11_tw_-1.00.jpg,nexus2_19_tw_-2.00.jpg,nexus2_12_tw_1.00.jpg,-3,3,-1,-2,1,0,101,-0.75,1,50,1,1.75
776369198,gridcompare_block,gridcompare_trial,21,38,386,nexus2_6_tw_1.00.jpg,nexus2_17_tw_-2.00.jpg,nexus2_24_tw_2.00.jpg,nexus2_23_tw_1.00.jpg,nexus2_22_tw_2.00.jpg,1,-2,2,1,2,0,101,0.5,2,50,0,1.5
776369198,gridcompare_block,gridcompare_trial,22,50,307,nexus2_13_tw_-1.00.jpg,nexus2_10_tw_2.00.jpg,nexus2_11_tw_2.00.jpg,nexus2_4_tw_-2.00.jpg,nexus2_20_tw_-2.00.jpg,-1,2,2,-2,-2,0,101,0.25,-2,38,0,2.25
776369198,gridcompare_block,gridcompare_trial,23,50,333,nexus2_15_tw_3.00.jpg,nexus2_16_tw_-2.00.jpg,nexus2_2_tw_-2.00.jpg,nexus2_18_tw_-3.00.jpg,nexus2_21_tw_2.00.jpg,3,-2,-2,-3,2,0,101,-1,2,50,1,3
776369198,gridcompare_block,gridcompare_trial,24,50,472,nexus2_3_tw_3.00.jpg,nexus2_1_tw_-3.00.jpg,nexus2_19_tw_0.00.jpg,nexus2_7_tw_-2.00.jpg,nexus2_12_tw_2.00.jpg,3,-3,0,-2,2,0,101,-0.5,2,50,1,2.5
776369198,gridcompare_block,gridcompare_trial,25,50,838,nexus2_9_tw_0.00.jpg,nexus2_14_tw_3.00.jpg,nexus2_8_tw_2.00.jpg,nexus2_5_tw_-3.00.jpg,nexus2_25_tw_2.00.jpg,0,3,2,-3,2,0,101,0.5,2,50,1,1.5
776369198,gridcompare_block,gridcompare_trial,26,38,916,nexus2_2_tw_0.00.jpg,nexus2_8_tw_-1.00.jpg,nexus2_15_tw_0.00.jpg,nexus2_22_tw_-3.00.jpg,nexus2_12_tw_-1.00.jpg,0,-1,0,-3,-1,1,102,-1,-1,NA,NA,0
776369198,gridcompare_block,gridcompare_trial,27,38,3230,nexus2_3_tw_-1.00.jpg,nexus2_14_tw_-1.00.jpg,nexus2_6_tw_-1.00.jpg,nexus2_7_tw_3.00.jpg,nexus2_9_tw_-2.00.jpg,-1,-1,-1,3,-2,0,102,0,-2,38,1,2
776369198,gridcompare_block,gridcompare_trial,28,50,622,nexus2_18_tw_3.00.jpg,nexus2_20_tw_1.00.jpg,nexus2_11_tw_-2.00.jpg,nexus2_25_tw_-3.00.jpg,nexus2_24_tw_-2.00.jpg,3,1,-2,-3,-2,0,102,-0.25,-2,38,0,1.75
776369198,gridcompare_block,gridcompare_trial,29,50,597,nexus2_5_tw_-2.00.jpg,nexus2_17_tw_2.00.jpg,nexus2_16_tw_2.00.jpg,nexus2_13_tw_3.00.jpg,nexus2_10_tw_-2.00.jpg,-2,2,2,3,-2,0,102,1.25,-2,38,0,3.25
776369198,gridcompare_block,gridcompare_trial,30,50,357,nexus2_4_tw_3.00.jpg,nexus2_21_tw_-1.00.jpg,nexus2_1_tw_0.00.jpg,nexus2_23_tw_2.00.jpg,nexus2_19_tw_-3.00.jpg,3,-1,0,2,-3,0,102,1,-3,38,0,4
776369198,gridcompare_block,gridcompare_trial,31,38,160,nexus2_20_tw_-3.00.jpg,nexus2_1_tw_2.00.jpg,nexus2_2_tw_3.00.jpg,nexus2_22_tw_-1.00.jpg,nexus2_16_tw_-3.00.jpg,-3,2,3,-1,-3,0,102,0.25,-3,38,1,3.25
776369198,gridcompare_block,gridcompare_trial,32,50,290,nexus2_6_tw_-2.00.jpg,nexus2_4_tw_2.00.jpg,nexus2_25_tw_1.00.jpg,nexus2_15_tw_2.00.jpg,nexus2_19_tw_3.00.jpg,-2,2,1,2,3,0,102,0.75,3,50,1,2.25
776369198,gridcompare_block,gridcompare_trial,33,50,415,nexus2_7_tw_-1.00.jpg,nexus2_10_tw_-3.00.jpg,nexus2_13_tw_2.00.jpg,nexus2_17_tw_1.00.jpg,nexus2_8_tw_3.00.jpg,-1,-3,2,1,3,0,102,-0.25,3,50,1,3.25
776369198,gridcompare_block,gridcompare_trial,34,50,222,nexus2_9_tw_-1.00.jpg,nexus2_23_tw_3.00.jpg,nexus2_5_tw_2.00.jpg,nexus2_14_tw_-2.00.jpg,nexus2_11_tw_0.00.jpg,-1,3,2,-2,0,0,102,0.5,0,38,0,0.5
776369198,gridcompare_block,gridcompare_trial,35,50,293,nexus2_21_tw_1.00.jpg,nexus2_3_tw_-2.00.jpg,nexus2_18_tw_0.00.jpg,nexus2_24_tw_-1.00.jpg,nexus2_12_tw_-2.00.jpg,1,-2,0,-1,-2,0,102,-0.5,-2,38,0,1.5
776369198,gridcompare_block,gridcompare_trial,36,50,4216,nexus2_19_tw_1.00.jpg,nexus2_15_tw_3.00.jpg,nexus2_13_tw_2.00.jpg,nexus2_18_tw_3.00.jpg,nexus2_4_tw_3.00.jpg,1,3,2,3,3,0,102,2.25,3,50,1,0.75
776369198,gridcompare_block,gridcompare_trial,37,38,504,nexus2_14_tw_1.00.jpg,nexus2_1_tw_3.00.jpg,nexus2_23_tw_0.00.jpg,nexus2_21_tw_3.00.jpg,nexus2_12_tw_-2.00.jpg,1,3,0,3,-2,0,102,1.75,-2,38,1,3.75
776369198,gridcompare_block,gridcompare_trial,38,50,755,nexus2_5_tw_0.00.jpg,nexus2_11_tw_-1.00.jpg,nexus2_17_tw_3.00.jpg,nexus2_20_tw_-1.00.jpg,nexus2_6_tw_-3.00.jpg,0,-1,3,-1,-3,0,102,0.25,-3,38,0,3.25
776369198,gridcompare_block,gridcompare_trial,39,50,389,nexus2_16_tw_-3.00.jpg,nexus2_24_tw_2.00.jpg,nexus2_8_tw_1.00.jpg,nexus2_22_tw_-3.00.jpg,nexus2_3_tw_0.00.jpg,-3,2,1,-3,0,0,102,-0.75,0,50,1,0.75
776369198,gridcompare_block,gridcompare_trial,40,50,149,nexus2_25_tw_0.00.jpg,nexus2_10_tw_-3.00.jpg,nexus2_7_tw_2.00.jpg,nexus2_2_tw_-1.00.jpg,nexus2_9_tw_-3.00.jpg,0,-3,2,-1,-3,0,102,-0.5,-3,38,0,2.5
776369198,gridcompare_block,gridcompare_trial,41,38,455,nexus2_13_tw_0.00.jpg,nexus2_14_tw_0.00.jpg,nexus2_19_tw_-3.00.jpg,nexus2_15_tw_0.00.jpg,nexus2_10_tw_-1.00.jpg,0,0,-3,0,-1,0,102,-0.75,-1,38,1,0.25
776369198,gridcompare_block,gridcompare_trial,42,50,15,nexus2_3_tw_1.00.jpg,nexus2_24_tw_3.00.jpg,nexus2_8_tw_0.00.jpg,nexus2_2_tw_3.00.jpg,nexus2_11_tw_0.00.jpg,1,3,0,3,0,0,102,1.75,0,38,0,1.75
776369198,gridcompare_block,gridcompare_trial,43,50,436,nexus2_21_tw_1.00.jpg,nexus2_7_tw_1.00.jpg,nexus2_18_tw_0.00.jpg,nexus2_6_tw_-2.00.jpg,nexus2_1_tw_-2.00.jpg,1,1,0,-2,-2,0,102,0,-2,38,0,2
776369198,gridcompare_block,gridcompare_trial,44,50,403,nexus2_16_tw_2.00.jpg,nexus2_20_tw_0.00.jpg,nexus2_22_tw_2.00.jpg,nexus2_17_tw_-2.00.jpg,nexus2_4_tw_0.00.jpg,2,0,2,-2,0,0,102,0.5,0,38,0,0.5
776369198,gridcompare_block,gridcompare_trial,45,50,418,nexus2_9_tw_-1.00.jpg,nexus2_5_tw_-1.00.jpg,nexus2_23_tw_3.00.jpg,nexus2_25_tw_-1.00.jpg,nexus2_12_tw_3.00.jpg,-1,-1,3,-1,3,0,102,0,3,50,1,3
776369198,gridcompare_block,gridcompare_trial,46,38,570,nexus2_25_tw_1.00.jpg,nexus2_21_tw_-1.00.jpg,nexus2_9_tw_2.00.jpg,nexus2_23_tw_-3.00.jpg,nexus2_14_tw_-3.00.jpg,1,-1,2,-3,-3,0,102,-0.25,-3,38,1,2.75
776369198,gridcompare_block,gridcompare_trial,47,50,395,nexus2_18_tw_-2.00.jpg,nexus2_4_tw_-3.00.jpg,nexus2_10_tw_3.00.jpg,nexus2_3_tw_-3.00.jpg,nexus2_5_tw_-2.00.jpg,-2,-3,3,-3,-2,0,102,-1.25,-2,38,0,0.75
776369198,gridcompare_block,gridcompare_trial,48,50,411,nexus2_16_tw_1.00.jpg,nexus2_7_tw_-1.00.jpg,nexus2_12_tw_2.00.jpg,nexus2_13_tw_-2.00.jpg,nexus2_24_tw_-3.00.jpg,1,-1,2,-2,-3,0,102,0,-3,38,0,3
776369198,gridcompare_block,gridcompare_trial,49,50,978,nexus2_17_tw_-3.00.jpg,nexus2_22_tw_0.00.jpg,nexus2_8_tw_-3.00.jpg,nexus2_2_tw_-2.00.jpg,nexus2_20_tw_1.00.jpg,-3,0,-3,-2,1,0,102,-2,1,50,1,3
776369198,gridcompare_block,gridcompare_trial,50,38,844,nexus2_11_tw_2.00.jpg,nexus2_15_tw_-2.00.jpg,nexus2_19_tw_0.00.jpg,nexus2_6_tw_0.00.jpg,nexus2_1_tw_2.00.jpg,2,-2,0,0,2,0,102,0,2,50,0,2
776369198,gridcompare_block,gridcompare_trial,51,50,1130,nexus2_13_tw_-3.00.jpg,nexus2_3_tw_2.00.jpg,nexus2_20_tw_3.00.jpg,nexus2_2_tw_2.00.jpg,nexus2_15_tw_-1.00.jpg,-3,2,3,2,-1,0,102,1,-1,38,0,2
776369198,gridcompare_block,gridcompare_trial,52,50,198,nexus2_18_tw_2.00.jpg,nexus2_9_tw_-2.00.jpg,nexus2_21_tw_-2.00.jpg,nexus2_10_tw_-2.00.jpg,nexus2_19_tw_-2.00.jpg,2,-2,-2,-2,-2,0,102,-1,-2,38,0,1
776369198,gridcompare_block,gridcompare_trial,53,50,1494,nexus2_22_tw_1.00.jpg,nexus2_1_tw_-3.00.jpg,nexus2_11_tw_-3.00.jpg,nexus2_16_tw_3.00.jpg,nexus2_14_tw_3.00.jpg,1,-3,-3,3,3,0,102,-0.5,3,50,1,3.5
776369198,gridcompare_block,gridcompare_trial,54,50,290,nexus2_6_tw_3.00.jpg,nexus2_17_tw_1.00.jpg,nexus2_23_tw_-1.00.jpg,nexus2_8_tw_-2.00.jpg,nexus2_24_tw_0.00.jpg,3,1,-1,-2,0,0,102,0.25,0,38,0,0.25
776369198,gridcompare_block,gridcompare_trial,55,50,1607,nexus2_7_tw_-2.00.jpg,nexus2_4_tw_-1.00.jpg,nexus2_5_tw_1.00.jpg,nexus2_25_tw_-3.00.jpg,nexus2_12_tw_0.00.jpg,-2,-1,1,-3,0,0,102,-1.25,0,50,1,1.25
776369198,gridcompare_block,gridcompare_trial,56,38,550,nexus2_2_tw_0.00.jpg,nexus2_6_tw_-1.00.jpg,nexus2_25_tw_2.00.jpg,nexus2_18_tw_1.00.jpg,nexus2_17_tw_2.00.jpg,0,-1,2,1,2,0,102,0.5,2,50,0,1.5
776369198,gridcompare_block,gridcompare_trial,57,50,296,nexus2_22_tw_-2.00.jpg,nexus2_8_tw_2.00.jpg,nexus2_3_tw_-2.00.jpg,nexus2_5_tw_3.00.jpg,nexus2_21_tw_-3.00.jpg,-2,2,-2,3,-3,0,102,0.25,-3,38,0,3.25
776369198,gridcompare_block,gridcompare_trial,58,50,507,nexus2_7_tw_0.00.jpg,nexus2_16_tw_-2.00.jpg,nexus2_14_tw_-2.00.jpg,nexus2_19_tw_3.00.jpg,nexus2_12_tw_1.00.jpg,0,-2,-2,3,1,0,102,-0.25,1,50,1,1.25
776369198,gridcompare_block,gridcompare_trial,59,50,336,nexus2_15_tw_-3.00.jpg,nexus2_4_tw_1.00.jpg,nexus2_11_tw_-2.00.jpg,nexus2_24_tw_-1.00.jpg,nexus2_13_tw_-1.00.jpg,-3,1,-2,-1,-1,0,102,-1.25,-1,50,1,0.25
