date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_latency,comments_response,comments_latency,
52717,16:41:07,473179570,776369198,5.0.7.0,31,30430,Male,30430,NA,30430,,30430,
52717,19:36:51,305814029,690355210,5.0.7.0,33,13917,Female,13917,white,13917,none,13917,
52717,17:35:19,726243475,66240800,5.0.7.0,33,17960,Male,17960,white,17960,no,17960,
52717,18:05:32,636080010,774359313,5.0.7.0,59,21386,Male,21386,Caucasian,21386,,21386,
52717,23:58:36,639211312,160662809,5.0.7.0,32,33058,Female,33058,white,33058,was a very intersting syrvey,33058,
52717,18:05:11,51427585,968682570,5.0.7.0,25,13444,Female,13444,ashkenazi,13444,way too long and redundant,13444,
52717,15:00:19,108822562,123472973,5.0.7.0,38,18427,Male,18427,white,18427,,18427,
52717,17:00:26,887691262,693680260,5.0.7.0,20,13588,Male,13588,WHITE,13588,NO,13588,
52717,17:59:45,530837932,768003376,5.0.7.0,67,25381,Female,25381,White,25381,,25381,
52717,16:56:52,570741180,687351301,5.0.7.0,48,20123,Female,20123,caucasian,20123,,20123,
52717,17:57:19,884501783,984155900,5.0.7.0,29,9310,Male,9310,white,9310,,9310,
52717,17:45:19,507749765,337274437,5.0.7.0,22,15568,Female,15568,white,15568,,15568,
52817,00:23:58,122210314,612413741,5.0.7.0,29,19127,Male,19127,white,19127,NA,19127,
52717,16:53:19,975223194,251257030,5.0.7.0,38,67097,Female,67097,White,67097,"The single photo often seemed to be  a repeat of one in the preceding group of 4, which made the ""more or less than"" question a bit tricky.",67097,
52717,13:28:08,632986921,532679863,5.0.7.0,24,20520,Male,20520,white/caucasian,20520,,20520,
52717,16:26:25,477286225,958629191,5.0.7.0,52,12400,Female,12400,white,12400,none,12400,
52717,16:24:38,467041039,663210446,5.0.7.0,35,12190,Male,12190,asian,12190,none,12190,
52717,15:24:25,392490521,737481469,5.0.7.0,65,38892,Male,38892,white,38892,pretty long. Maybe consider taking a few breaks now and then,38892,
52717,13:24:57,108103122,959862251,5.0.7.0,24,16372,Female,16372,White American,16372,Thank you,16372,
52717,13:23:40,661372720,995673113,5.0.7.0,33,13568,Female,13568,White,13568,,13568,
52717,12:58:53,574597717,389724437,5.0.7.0,33,7870,Female,7870,asian,7870,,7870,
52717,15:42:18,320248167,582316096,5.0.7.0,41,16278,Male,16278,white caucasian,16278,Thanks!,16278,
52717,13:35:32,242616911,665611776,5.0.7.0,34,42563,Male,42563,caucasian,42563,no,42563,
52717,15:25:48,935896840,805890095,5.0.7.0,46,14277,Male,14277,white,14277,no,14277,
52717,13:51:59,498442655,174488811,5.0.7.0,46,13540,Male,13540,white,13540,no,13540,
52717,14:52:35,271679394,95969470,5.0.7.0,98,21005,Male,21005,white,21005,Interesting!,21005,
52717,14:51:22,529542658,922258378,5.0.7.0,25,8756,Male,8756,Asian,8756,,8756,
52717,14:22:09,807757512,698935186,5.0.7.0,27,42122,Male,42122,bLACK,42122,,42122,
52717,10:39:10,951743316,165514597,5.0.7.0,26,18649,Male,18649,white,18649,great task,18649,
52717,13:28:13,286994121,821107191,5.0.7.0,48,17643,Female,17643,AFRICAN AMERICAN,17643,NO,17643,
52717,13:16:10,137031154,599359655,5.0.7.0,34,196904,Male,196904,White,196904,Very early on I found myself considering the more feminine faces trustworthy. The more aggressive faces non trust worthy and groups with a higher feminine to manly ratio more on the favorable side. Seems like that after that it came down to smiles.,196904,
52717,10:20:06,39627598,168945405,5.0.7.0,21,11830,Female,11830,vietnamese,11830,,11830,
52717,10:14:40,951920397,847953710,5.0.7.0,27,8302,Male,8302,white,8302,,8302,
52717,12:17:11,732215319,477762459,5.0.7.0,51,17354,Female,17354,White,17354,,17354,
52717,09:41:59,626710484,698987737,5.0.7.0,70,72053,Male,72053,CaucasianI,72053,I suppose I viewed the more feminine faces as more trustworthy for the most part.,72053,
52717,19:34:18,474795778,51387969,5.0.7.0,40,40449,Male,40449,Caucasian,40449,Stereotyping maybe?,40449,
52717,11:29:24,701557356,330959454,5.0.7.0,55,13381,Male,13381,white,13381,,13381,
52717,11:01:30,785314809,865157048,5.0.7.0,24,18488,Male,18488,WHITE,18488,Thanks,18488,
52717,11:51:00,718497631,72518018,5.0.7.0,25,15798,Female,15798,White American,15798,Good survey.,15798,
52717,10:49:36,498517995,673655548,5.0.7.0,31,14091,Male,14091,caucasian,14091,no,14091,
52717,11:46:10,59849917,486389815,5.0.7.0,73,70898,Female,70898,"white, caucsian northern european",70898,No comments other than it is interesting.  Thank you for the work.,70898,
52717,08:42:16,709170602,955853994,5.0.7.0,26,10715,Female,10715,HISPANIC,10715,,10715,
52717,11:18:09,506694304,490087821,5.0.7.0,25,14838,Female,14838,hispanic,14838,,14838,
52717,07:49:10,209647068,517587141,5.0.7.0,35,13326,Male,13326,Caucasian,13326,,13326,
52717,10:45:27,538652697,814794817,5.0.7.0,23,12929,Female,12929,White,12929,,12929,
52717,09:46:03,28483117,647058880,5.0.7.0,29,18963,Female,18963,White,18963,No comment,18963,
52717,10:38:14,886157534,469082704,5.0.7.0,30,13726,Male,13726,white,13726,no,13726,
52717,10:36:11,791752167,967942001,5.0.7.0,44,24946,Female,24946,caucasian,24946,This was really interesting :),24946,
52717,10:31:33,998351301,547888418,5.0.7.0,26,15928,Male,15928,White,15928,,15928,
52717,10:15:00,761593723,517471095,5.0.7.0,30,9319,Male,9319,White,9319,No,9319,
