date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_code,race_latency,comments_response,comments_latency,
90717,08:42:21,573276094,290414936,5.0.7.0,62,21181,Male,21181,White,w,21181,No comments,21181,
90717,08:02:20,247766998,994354756,5.0.9.0,49,25772,Male,25772,White/Caucasion,w,25772,No comment,25772,
90717,07:34:27,40026121,481166991,5.0.9.0,26,7984,Male,7984,White,w,7984,,7984,
90717,02:31:59,158923920,57575508,5.0.7.0,54,13972,Female,13972,WHITE,w,13972,,13972,
90717,05:08:29,867438112,498891058,5.0.7.0,27,111629,Female,111629,Mixed race (italian/persian),NA,111629,So many of these questions seem like they were from a pre-civil rights eras and kind of made me feel sick to think about.,111629,
90717,14:47:37,438501153,389822021,5.0.7.0,47,17892,Male,17892,white,w,17892,thanks,17892,
90717,03:07:07,44045233,432330631,5.0.7.0,28,11467,Male,11467,White,w,11467,,11467,
90717,02:10:51,262936911,648868822,5.0.7.0,29,11303,Female,11303,white,w,11303,,11303,
90717,02:37:14,562299730,958893369,5.0.9.0,42,35538,Female,35538,caucasian,w,35538,This was an interesting survey!,35538,
90617,23:51:10,872061443,334611748,5.0.9.0,45,11081,Male,11081,Hispanic,NA,11081,,11081,
90717,01:39:31,192267844,634796787,5.0.7.0,40,20044,Male,20044,white,w,20044,n/a,20044,
90617,22:04:29,706761905,989883287,5.0.7.0,32,48927,Male,48927,Caucasian,w,48927,add a progress bar,48927,
90617,21:48:30,654324520,818753875,5.0.7.0,39,13287,Female,13287,White,w,13287,,13287,
90617,23:43:39,663097241,726417888,5.0.9.0,30,15161,Female,15161,Asian,NA,15161,,15161,
90617,23:37:52,79528937,4114686,5.0.7.0,47,31136,Female,31136,White,w,31136,Intesting survey. Thank you for the opportunity to participate.,31136,
90717,00:35:39,415934286,888839741,5.0.7.0,29,10865,Female,10865,White,w,10865,,10865,
90617,23:34:12,592791112,881465120,5.0.7.0,35,12365,Male,12365,white,w,12365,none,12365,
90617,23:49:48,960343819,430349147,5.0.7.0,22,12929,Female,12929,White,w,12929,No thank you,12929,
