date,time,group,subject,build,therm_slider_black_response,therm_slider_black_latency,therm_slider_white_response,therm_slider_white_latency,
90717,08:42:21,573276094,290414936,5.0.7.0,86,13108,92,8835,
90717,08:02:20,247766998,994354756,5.0.9.0,75,6661,90,10283,
90717,07:34:27,40026121,481166991,5.0.9.0,100,6705,64,5562,
90717,02:31:59,158923920,57575508,5.0.7.0,76,11195,76,6430,
90717,05:08:29,867438112,498891058,5.0.7.0,50,31330,50,14538,
90717,14:47:37,438501153,389822021,5.0.7.0,94,8808,95,5659,
90717,03:07:07,44045233,432330631,5.0.7.0,70,6051,98,8972,
90717,02:10:51,262936911,648868822,5.0.7.0,20,3279,91,6393,
90717,02:37:14,562299730,958893369,5.0.9.0,86,163694,80,225784,
90617,23:51:10,872061443,334611748,5.0.9.0,59,21048,58,8066,
90717,01:39:31,192267844,634796787,5.0.7.0,48,7503,49,24628,
90617,22:04:29,706761905,989883287,5.0.7.0,56,3397,56,10568,
90617,21:48:30,654324520,818753875,5.0.7.0,15,8190,80,8464,
90617,23:43:39,663097241,726417888,5.0.9.0,51,10329,51,9861,
90617,23:37:52,79528937,4114686,5.0.7.0,0,7608,100,5787,
90717,00:35:39,415934286,888839741,5.0.7.0,49,16384,77,7581,
90617,23:34:12,592791112,881465120,5.0.7.0,76,8381,89,5173,
90617,23:49:48,960343819,430349147,5.0.7.0,100,3558,100,3202,
90617,23:42:16,437285898,1602490,5.0.7.0,91,4267,100,2242,
90617,22:34:01,709103744,119219430,5.0.9.0,37,1268,72,3928,
90617,22:06:35,440598975,694773555,5.0.7.0,75,7469,74,4455,
90617,16:52:56,63045804,764018826,5.0.7.0,95,9803,15,4470,
90617,22:00:20,399560704,50331746,5.0.7.0,32,5224,97,14356,
90617,20:15:10,42646109,164027095,5.0.7.0,75,6839,82,7168,
90617,19:15:19,412449921,892324106,5.0.7.0,7,6518,98,5014,
90617,21:18:20,885370414,199815193,5.0.7.0,100,5603,100,5000,
90617,17:10:08,850317637,894125497,5.0.7.0,52,6170,52,6547,
90617,19:53:54,618673853,208390778,5.0.7.0,51,15356,51,6105,
90617,18:41:46,100085185,203591725,5.0.7.0,60,5864,50,12745,
90617,18:43:57,389206672,317264757,5.0.7.0,77,19553,85,20711,
90617,18:43:10,20391967,283284943,5.0.7.0,73,4411,77,11304,
90617,19:39:12,66898167,627310658,5.0.9.0,84,6272,83,11011,
90617,19:39:21,930828474,142988911,5.0.7.0,99,4721,100,4562,
90617,19:38:42,961316570,124763419,5.0.7.0,51,6663,52,4967,
90617,17:14:23,213322857,555800846,5.0.7.0,83,9182,85,7532,
90617,17:56:50,966642268,44522845,5.0.7.0,100,19535,100,10341,
90617,14:56:07,968143590,727243058,5.0.7.0,60,7212,58,3669,
90617,14:55:37,280341298,110432387,5.0.7.0,72,7859,75,5272,
90617,17:35:23,594856850,332744996,5.0.7.0,79,7849,81,7948,
90617,16:37:06,892498572,18129325,5.0.9.0,69,4907,72,22300,
90617,14:37:38,728330509,809836539,5.0.7.0,56,3185,51,4900,
90617,14:05:43,252137201,212292819,5.0.7.0,89,4583,73,6753,
90617,16:28:24,801785503,440336251,5.0.7.0,51,5909,66,5515,
90617,15:57:38,935307801,758901011,5.0.9.0,11,3584,75,7926,
90617,12:34:17,519259874,392545859,5.0.7.0,79,4794,100,2656,
90617,15:13:27,115533615,662521930,5.0.9.0,100,2380,100,3129,
90617,15:10:20,80157475,616487730,5.0.7.0,85,5409,66,32114,
90617,14:09:25,236025948,765312939,5.0.7.0,70,16559,70,8195,
90617,11:21:59,141807954,248586897,5.0.7.0,94,3535,63,3863,
90617,14:07:41,277663974,97313598,5.0.7.0,82,6991,90,17960,
90617,12:34:11,5995605,599938609,5.0.7.0,47,20839,58,9085,
90617,12:37:15,193622365,633442266,5.0.7.0,51,17825,51,6211,
90617,13:33:11,490679678,885475717,5.0.7.0,100,7761,100,4350,
90617,13:33:39,28214942,346762631,5.0.7.0,79,9088,75,13357,
90617,10:19:13,413236298,141339764,5.0.9.0,76,4465,77,4175,
90617,12:02:51,380818657,172660275,5.0.7.0,50,7948,50,3113,
90617,08:55:56,654494955,827602596,5.0.9.0,80,12105,85,8273,
90617,11:50:26,596480274,348410282,5.0.7.0,50,7959,50,16692,
90617,10:15:05,141734157,314741068,5.0.9.0,51,6343,50,10644,
90617,10:11:44,856617875,538382900,5.0.7.0,74,3559,80,6979,
90617,11:09:31,371212818,52337535,5.0.9.0,61,4547,83,6943,
90617,09:18:30,483590815,95961922,5.0.7.0,90,7239,92,7987,
90617,08:47:58,527789048,639103373,5.0.9.0,60,4262,60,4947,
90617,08:40:04,50007566,466015574,5.0.7.0,50,7372,90,8049,
90617,08:38:38,818762138,949728913,5.0.7.0,85,5687,79,8027,
90617,08:30:09,271769807,564667527,5.0.7.0,30,16355,100,7336,
90617,08:25:15,333795468,550519767,5.0.7.0,78,4230,77,8688,
90617,08:23:31,871933653,690816900,5.0.9.0,78,7696,81,6609,
90617,08:21:09,581743300,697930384,5.0.7.0,75,4524,75,6508,
90617,07:09:27,593705703,537550768,5.0.7.0,91,4731,95,9506,
90617,06:00:44,212324213,156020214,5.0.7.0,33,9964,76,6467,
90617,05:52:18,620406079,133678212,5.0.9.0,100,4317,100,5798,
90617,06:44:33,936302151,194954320,5.0.7.0,78,17263,78,11001,
90617,06:42:46,887875548,388337919,5.0.7.0,16,9848,91,5208,
90617,05:44:36,842999343,525345072,5.0.7.0,92,5086,93,4698,
90617,06:41:11,339904764,490352948,5.0.7.0,88,4106,12,5421,
90617,06:17:06,537394923,983594461,5.0.7.0,60,9272,90,14009,
90617,05:34:21,914948873,674525959,5.0.7.0,65,14626,85,17288,
90617,03:59:27,901825957,374387510,5.0.9.0,69,11360,68,9785,
90617,04:44:49,593968980,381245727,5.0.7.0,51,17899,51,10033,
90617,03:35:14,622538659,430321473,5.0.7.0,84,7781,78,4225,
90617,01:37:11,506480347,548602704,5.0.7.0,100,2816,100,6284,
90617,02:12:48,689225942,52595744,5.0.7.0,50,9716,66,5162,
90517,23:55:42,129125658,387455168,5.0.7.0,50,4575,50,8989,
90517,23:41:47,434041423,307780263,5.0.7.0,60,8458,78,11971,
90617,02:18:57,317386275,348261990,5.0.7.0,76,3999,74,8168,
90517,23:23:22,455182402,134292443,5.0.7.0,88,4672,87,7391,
90617,09:16:51,310378337,355269928,5.0.7.0,54,6728,44,18432,
90617,01:19:58,690002259,441254212,5.0.7.0,100,6841,100,6338,
90517,23:25:21,198670617,785424573,5.0.7.0,99,5798,90,8149,
90517,23:23:33,453358220,838812774,5.0.7.0,80,8177,85,8966,
90517,23:51:35,575287676,476100452,5.0.7.0,51,11362,51,7904,
90517,20:57:10,45935326,692191437,5.0.7.0,78,20872,92,9918,
90517,22:49:52,915349887,63559742,5.0.7.0,100,8482,100,9649,
90517,23:52:07,766082729,433957318,5.0.7.0,81,6446,100,5279,
90517,20:46:45,495038908,869610584,5.0.7.0,82,6679,75,3351,
90517,21:38:06,732407019,318981109,5.0.9.0,100,4581,100,4534,
90517,22:25:54,520784936,233299354,5.0.7.0,100,8938,71,9275,
90517,22:19:55,465135573,979382263,5.0.7.0,92,5790,35,3821,
90517,22:19:45,700377095,423489531,5.0.7.0,62,6534,90,7675,
90517,22:14:13,558077078,962614179,5.0.9.0,94,8317,90,9410,
90517,22:14:54,795207606,725483650,5.0.9.0,100,5918,79,5187,
90517,21:15:01,447354842,218293423,5.0.7.0,100,2751,86,9099,
90517,21:45:29,415903701,635484427,5.0.7.0,50,4370,50,14528,
90517,21:41:37,756363288,443676759,5.0.7.0,50,9254,80,10446,
90517,20:23:24,443368502,146106343,5.0.9.0,83,2176,76,5197,
90517,17:47:06,400561979,434763901,5.0.7.0,100,4478,26,3531,
90517,17:26:07,741392574,429111,5.0.7.0,100,2415,100,7476,
90517,19:24:57,158768866,209575562,5.0.7.0,52,6372,51,7050,
90517,19:17:46,948976393,491846520,5.0.7.0,70,10190,80,8715,
90517,19:17:46,948976393,491846520,5.0.7.0,70,10190,80,8715,
90517,20:17:51,573366539,867158247,5.0.7.0,93,3618,97,2747,
90517,18:01:30,155997903,819216804,5.0.7.0,51,5659,51,2857,
90517,19:50:46,48918726,315730779,5.0.7.0,74,13860,73,6360,
90517,16:15:12,602269610,601465360,5.0.7.0,65,4086,78,10994,
90517,16:10:44,648944438,165355746,5.0.7.0,24,7189,60,3620,
90517,17:59:05,462176384,203471881,5.0.7.0,93,7374,95,3804,
90517,16:49:08,279735827,626695304,5.0.7.0,85,10833,19,6625,
90517,17:22:34,325385305,18774342,5.0.7.0,90,4784,91,7933,
90517,14:10:46,594568491,380646216,5.0.7.0,90,6640,90,5069,
90517,17:01:28,24964154,640385983,5.0.9.0,84,3091,86,5127,
90517,15:52:05,349211498,388915265,5.0.7.0,63,10972,65,11434,
90517,15:56:42,90032289,448841633,5.0.9.0,88,4752,82,14958,
90517,12:12:26,500979413,619223311,5.0.7.0,60,8901,78,7275,
90517,12:09:03,637157101,7510767,5.0.7.0,76,4897,76,4677,
90517,13:31:17,891486678,175469933,5.0.7.0,77,7283,81,7624,
90517,11:41:10,294389905,957981706,5.0.7.0,20,5598,82,8069,
83117,17:18:53,56876621,270324245,5.0.7.0,41,5766,69,8453,
